locus,ratio,std,revRatio,revStd,weightRatio,pepNum,pepNumTotal,specCount,compositeRatio,desc
Q9CQX4,0.61743,0.0921,1.06965,0.37636,0.64362,39,39,139,0.74149,PCNA-associated factor OS=Mus musculus GN=Paf PE=1 SV=1
"P0CG49,contaminant_UBIQUITIN08,P0CG50",0.79418,-1,0.81258,-1,1.10441,65,65,189,1.26096,Polyubiquitin-B OS=Mus musculus GN=Ubb PE=2 SV=1 @no description@Polyubiquitin-C OS=Mus musculus GN=Ubc PE=1 SV=2
P18608,0.73099,-1,0.6735,-1,1.01363,44,44,248,1.13719,Non-histone chromosomal protein HMG-14 OS=Mus musculus GN=Hmgn1 PE=1 SV=2
P17095,2.488,-1,0.22222,-1,3.7908,42,42,236,4.20293,High mobility group protein HMG-I/HMG-Y OS=Mus musculus GN=Hmga1 PE=1 SV=4
O70251,0.61615,-1,1.36368,-1,0.67109,18,18,21,0.69943,Elongation factor 1-beta OS=Mus musculus GN=Eef1b PE=1 SV=5
P16045,0.5696,0.1508,1.30535,0.41049,0.62336,22,22,73,0.67565,Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3
Q61937,0.41384,-1,0.94857,-1,0.56626,142,142,225,0.66314,Nucleophosmin OS=Mus musculus GN=Npm1 PE=1 SV=1
Q6IRU2,0.6991,-1,1.10201,-1,0.75879,261,261,1092,0.83305,Tropomyosin alpha-4 chain OS=Mus musculus GN=Tpm4 PE=2 SV=3
P60867,0.6915,0.312,0.67623,0.34445,0.89192,21,21,49,0.99533,40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1
Q9D0T1,0.5207,-1,1.20427,-1,0.65118,53,53,100,0.77498,NHP2-like protein 1 OS=Mus musculus GN=Nhp2l1 PE=1 SV=4
P09602,0.52972,0.22393,0.63832,0.23006,0.71585,19,19,136,0.998,Non-histone chromosomal protein HMG-17 OS=Mus musculus GN=Hmgn2 PE=1 SV=2
P52927,3.07356,-1,0.22786,-1,4.10926,27,27,147,4.53801,High mobility group protein HMGI-C OS=Mus musculus GN=Hmga2 PE=1 SV=1
Q9CPT5,2.26019,-1,0.29699,-1,3.15843,32,32,96,3.15269,Nucleolar protein 16 OS=Mus musculus GN=Nop16 PE=2 SV=1
O54962,0.68354,0.257,0.84766,0.2181,0.85245,24,24,55,0.90463,Barrier-to-autointegration factor OS=Mus musculus GN=Banf1 PE=1 SV=1
P83870,0.68222,-1,1.17486,-1,0.68001,24,24,38,0.75156,PHD finger-like domain-containing protein 5A OS=Mus musculus GN=Phf5a PE=1 SV=1
Q3UHX2,0.42814,-1,0.8437,-1,0.65413,105,105,385,0.75839,28 kDa heat- and acid-stable phosphoprotein OS=Mus musculus GN=Pdap1 PE=1 SV=1
P62984,0.78875,-1,0.75439,-1,1.10809,68,68,189,1.264,Ubiquitin-60S ribosomal protein L40 OS=Mus musculus GN=Uba52 PE=1 SV=2
P63158,0.43864,-1,1.07233,-1,0.55894,190,190,837,0.62803,High mobility group protein B1 OS=Mus musculus GN=Hmgb1 PE=1 SV=2
P34022,0.49542,-1,0.98832,-1,0.65656,56,56,245,0.75165,Ran-specific GTPase-activating protein OS=Mus musculus GN=Ranbp1 PE=1 SV=2
P68433,0.91725,-1,0.75988,-1,1.06421,105,105,992,1.22107,Histone H3.1 OS=Mus musculus GN=Hist1h3a PE=1 SV=2
P84228,0.95252,-1,0.75866,-1,1.10577,110,110,1029,1.23118,Histone H3.2 OS=Mus musculus GN=Hist1h3b PE=1 SV=2
P58771,0.68432,-1,0.97412,-1,1.05669,242,242,1089,0.87503,Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=1 SV=1
P61089,0.56331,0.10048,1.53302,0.38014,0.58194,10,10,11,0.6582,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus GN=Ube2n PE=1 SV=1
O55128,0.60093,-1,0.85984,-1,0.70792,26,26,74,1.04297,Histone deacetylase complex subunit SAP18 OS=Mus musculus GN=Sap18 PE=1 SV=1
P30681,0.4338,-1,1.05501,-1,0.58423,181,181,621,0.65353,High mobility group protein B2 OS=Mus musculus GN=Hmgb2 PE=1 SV=3
P43277,2.62248,-1,0.19678,-1,4.84548,143,143,323,4.50094,Histone H1.3 OS=Mus musculus GN=Hist1h1d PE=1 SV=2
P57784,0.82441,-1,0.83762,-1,2.21692,51,51,102,0.88656,U2 small nuclear ribonucleoprotein A' OS=Mus musculus GN=Snrpa1 PE=1 SV=2
P20152,0.8475,-1,0.84674,-1,1.00579,334,334,2263,1.07941,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3
Q64525,0.36977,-1,0.80616,-1,0.68384,69,69,245,0.65844,Histone H2B type 2-B OS=Mus musculus GN=Hist2h2bb PE=1 SV=3
O55135,0.65673,0.12242,1.11854,0.51441,0.65827,9,9,10,0.75184,Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2
P62900,1.07962,-1,0.48415,-1,1.43275,11,11,34,1.69921,60S ribosomal protein L31 OS=Mus musculus GN=Rpl31 PE=1 SV=1
P62830,1.17943,0.44508,0.60235,0.0992,1.43174,11,11,43,1.43851,60S ribosomal protein L23 OS=Mus musculus GN=Rpl23 PE=1 SV=1
P62806,0.41735,-1,1.56132,-1,0.4842,65,65,190,0.54248,Histone H4 OS=Mus musculus GN=Hist1h4a PE=1 SV=2
P49312,0.5298,-1,0.76302,-1,0.86283,165,165,2276,0.77197,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2
Q9DCB1,0.28281,0.28431,0.44344,0.25849,0.66335,17,17,63,1.08259,High mobility group nucleosome-binding domain-containing protein 3 OS=Mus musculus GN=Hmgn3 PE=2 SV=1
Q8R344,0.59626,0.14722,0.90495,0.3223,0.66975,17,17,36,0.8121,Coiled-coil domain-containing protein 12 OS=Mus musculus GN=Ccdc12 PE=1 SV=2
P18760,0.44916,0.3009,0.79864,0.45761,0.71912,25,25,181,0.91589,Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3
