PLINE,LOCUS,AVERAGE_RATIO,AVERAGE_RATIO_REV,STANDARD_DEVIATION,STANDARD_DEVIATION_REV,COMPOSITE_RATIO,COMPOSITE_RATIO_STANDARD_DEVIATION,WEIGHTED_AVERAGE,LOG_INV_AVERAGE,LOG_INV_AVERAGE_REV,PEPTIDE_NUM,TOTAL_PEPTIDE_NUM,SPEC_COUNT,AREA_RATIO,DESCRIPTION
P,A0A0G2JEP8,0.46628,0.56194,NA,NA,0.92457,1.44598,0.69632,0.46628,0.56194,24,24,47,1.068513024,Rho-related GTP-binding protein RhoC (Fragment) OS=Mus musculus OX=10090 GN=Rhoc PE=1 SV=1 
P,A0A2R8VHF3,0.77947,0.73306,NA,NA,1.05775,1.29149,0.96963,0.77947,0.73306,87,87,359,1.108682062,Tubulin alpha chain (Fragment) OS=Mus musculus OX=10090 GN=Gm49450 PE=3 SV=1 
P,A0A2R8VHL8,0.67316,0.85318,NA,NA,0.89153,1.28296,0.79564,0.67316,0.85318,64,64,259,0.907857906,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,Q9WVA4,0.43283,0.63114,NA,NA,0.82657,1.47299,0.76839,0.43283,0.63114,183,183,649,0.887786942,Transgelin-2 OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=4 
P,B7ZCS1,0.97223,0.97039,0.02176,0.00068,0.99791,1.01208,0.97296,0.97223,0.97039,3,3,3,1.004903105,Pre-mRNA-processing factor 6 (Fragment) OS=Mus musculus OX=10090 GN=Prpf6 PE=1 SV=1 
P,O88569,0.55495,0.67591,NA,NA,0.91341,1.65062,0.84232,0.55495,0.67591,266,266,1553,0.997057293,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus OX=10090 GN=Hnrnpa2b1 PE=1 SV=2 
P,P62827,0.45639,0.55566,NA,NA,0.90838,2.50379,0.73404,0.45639,0.55566,132,132,426,2.151150571,GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=Ran PE=1 SV=3 
P,A0A087WS46,0.7497,0.71798,NA,NA,1.09371,1.73304,0.84617,0.7497,0.71798,52,52,188,1.261588674,Eukaryotic translation elongation factor 1 beta 2 OS=Mus musculus OX=10090 GN=Eef1b2 PE=1 SV=1 
P,D3YYV8,0.71233,0.73229,NA,NA,0.93419,1.88215,0.89706,0.71233,0.73229,77,77,358,1.100027194,60S ribosomal protein L5 (Fragment) OS=Mus musculus OX=10090 GN=Rpl5 PE=1 SV=1 
P,A0A0A6YWA9,0.81471,0.78299,NA,NA,0.94852,1.2991,0.93375,0.81471,0.78299,49,49,110,1.008657819,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Fragment) OS=Mus musculus OX=10090 GN=Gnai2 PE=1 SV=1 
P,P99027,0.69172,0.59854,NA,NA,1.08932,1.87477,0.99608,0.69172,0.59854,88,88,252,1.139938091,60S acidic ribosomal protein P2 OS=Mus musculus OX=10090 GN=Rplp2 PE=1 SV=3 
P,P20152,0.68578,0.51565,NA,NA,1.21236,1.92611,1.34227,0.68578,0.51565,533,533,8164,1.861678133,Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3 
P,A0A0A6YWC8,0.68085,0.50816,NA,NA,1.21584,1.94215,1.3652,0.68085,0.50816,519,519,8097,1.879891399,Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=1 
P,P49312,0.58517,0.78357,NA,NA,0.89769,1.64069,0.77831,0.58517,0.78357,320,320,2669,0.926643942,Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus OX=10090 GN=Hnrnpa1 PE=1 SV=2 
P,P62137,0.63076,0.84527,NA,NA,0.84165,1.75541,0.7817,0.63076,0.84527,155,155,460,0.889879754,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1ca PE=1 SV=1 
P,P50543,0.69712,1.06627,NA,NA,0.74713,1.27981,0.65598,0.69712,1.06627,22,22,45,0.820210281,Protein S100-A11 OS=Mus musculus OX=10090 GN=S100a11 PE=1 SV=1 
P,A0A0A6YXG6,0.28854,0.43192,NA,NA,0.82322,1.33419,0.83048,0.28854,0.43192,83,83,222,0.904708092,Transgelin-2 (Fragment) OS=Mus musculus OX=10090 GN=Tagln2 PE=1 SV=1 
P,D3Z287,0.6531,0.60819,0.32377,0.44103,0.97677,1.63077,0.87521,0.6531,0.60819,8,8,11,1.09141279,Ribosomal oxygenase 2 (Fragment) OS=Mus musculus OX=10090 GN=Riox2 PE=1 SV=8 
P,P68373,0.79478,0.71836,NA,NA,1.06757,1.49813,0.95033,0.79478,0.71836,150,150,667,1.331557952,Tubulin alpha-1C chain OS=Mus musculus OX=10090 GN=Tuba1c PE=1 SV=1 
P,P05213,0.79637,0.73355,NA,NA,1.06757,1.41149,0.95851,0.79637,0.73355,154,154,689,1.248238956,Tubulin alpha-1B chain OS=Mus musculus OX=10090 GN=Tuba1b PE=1 SV=2 
P,P68369,0.80396,0.7363,NA,NA,1.07063,1.41195,0.95706,0.80396,0.7363,153,153,655,1.249947058,Tubulin alpha-1A chain OS=Mus musculus OX=10090 GN=Tuba1a PE=1 SV=1 
P,O70251,0.78392,0.78609,NA,NA,1.06574,1.62586,0.87111,0.78392,0.78609,69,69,217,1.184746423,Elongation factor 1-beta OS=Mus musculus OX=10090 GN=Eef1b PE=1 SV=5 
P,B0V2N7,0.75004,0.83016,NA,NA,0.94738,1.46147,0.84449,0.75004,0.83016,115,115,402,1.032228511,Annexin (Fragment) OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=1 
P,F7C9U3,0.74047,0.84105,0.18087,0.19688,0.97641,1.04901,0.84905,0.74047,0.84105,19,19,86,0.980474556,Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpm PE=1 SV=1 
P,A0A286YCM2,0.7009,0.76418,NA,NA,0.92396,1.34484,0.9034,0.7009,0.76418,146,146,816,0.99827334,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,B0V2N8,0.74168,0.80246,NA,NA,0.95059,1.48805,0.84627,0.74168,0.80246,104,104,350,1.048521093,Annexin (Fragment) OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=1 
P,J3QPS8,0.75111,1.15705,0.13176,0.21288,0.79779,1.18991,0.77358,0.75111,1.15705,78,78,316,0.788321572,Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1 
P,A0A140LHK0,0.53318,0.76026,NA,NA,1.04008,3.15589,0.8042,0.53318,0.76026,74,74,594,1.169141948,Serpin H1 (Fragment) OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=1 
P,P63260,0.53214,0.62245,NA,NA,0.95675,1.4821,0.84945,0.53214,0.62245,498,498,10385,1.110880476,"Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1 "
P,H3BKI8,0.61149,0.65722,NA,NA,0.93811,1.41058,0.92557,0.61149,0.65722,149,149,805,1.011405985,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,P19324,0.59753,0.61224,NA,NA,1.04997,2.37396,1.05784,0.59753,0.61224,369,369,2397,2.02146264,Serpin H1 OS=Mus musculus OX=10090 GN=Serpinh1 PE=1 SV=3 
P,P62141,0.60381,0.85294,NA,NA,0.82967,1.62916,0.73679,0.60381,0.85294,116,116,333,0.846930183,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1cb PE=1 SV=3 
P,D3Z5E2,0.62533,0.63635,NA,NA,0.98314,1.22631,0.86778,0.62533,0.63635,98,98,486,1.050047222,Heat shock cognate 71 kDa protein (Fragment) OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1 
P,H3BK96,0.6641,0.72115,NA,NA,0.93727,1.35111,0.89452,0.6641,0.72115,191,191,1140,1.029919509,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=8 
P,A0A087WQD6,0.56788,0.73221,0.28074,0.41559,0.85194,1.22954,0.78931,0.56788,0.73221,43,43,106,0.916034636,Matrin-3 (Fragment) OS=Mus musculus OX=10090 GN=Matr3 PE=1 SV=1 
P,E9Q1F2,0.55473,0.67014,NA,NA,0.91256,1.4359,0.86031,0.55473,0.67014,391,391,9282,1.031820053,"Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1 "
P,A0A2R8VI73,0.66438,0.85662,NA,NA,0.92595,1.2787,0.77337,0.66438,0.85662,70,70,270,0.908962198,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,A0A2R8VKF0,0.65249,0.81587,NA,NA,0.96372,1.28802,0.78298,0.65249,0.81587,56,56,248,0.94261535,Poly(rC)-binding protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pcbp2 PE=1 SV=1 
P,Q923D4,0.42379,0.74787,NA,NA,0.83762,1.87238,0.72903,0.42379,0.74787,35,35,77,0.889704297,Splicing factor 3B subunit 5 OS=Mus musculus OX=10090 GN=Sf3b5 PE=1 SV=1 
P,A0A0A6YXF6,0.57145,0.62668,NA,NA,0.98358,1.40153,0.74801,0.57145,0.62668,38,38,88,1.144505332,Transforming protein RhoA (Fragment) OS=Mus musculus OX=10090 GN=Rhoa PE=1 SV=1 
P,S4R1V0,0.87356,0.69464,NA,NA,1.18215,1.36614,0.96496,0.87356,0.69464,62,62,144,1.189607713,PDZ and LIM domain protein 1 (Fragment) OS=Mus musculus OX=10090 GN=Pdlim1 PE=1 SV=1 
P,A0A087WP57,0.88983,1.01385,0.13471,0.13275,0.99536,1.09195,0.91062,0.88983,1.01385,36,36,126,0.973936704,TAR DNA-binding protein 43 OS=Mus musculus OX=10090 GN=Tardbp PE=1 SV=1 
P,Q80X90,0.55737,0.7688,NA,NA,0.86997,1.38681,0.75522,0.55737,0.7688,1057,1057,6367,0.923225678,Filamin-B OS=Mus musculus OX=10090 GN=Flnb PE=1 SV=3 
P,P63168,0.66044,0.71124,NA,NA,0.89551,1.32264,0.77881,0.66044,0.71124,33,33,104,0.967099434,"Dynein light chain 1, cytoplasmic OS=Mus musculus OX=10090 GN=Dynll1 PE=1 SV=1 "
P,Q9D0M5,0.64962,0.77556,NA,NA,0.84161,1.24695,0.76328,0.64962,0.77556,26,26,65,0.876164351,"Dynein light chain 2, cytoplasmic OS=Mus musculus OX=10090 GN=Dynll2 PE=1 SV=1 "
P,B1ATY1,0.48986,0.55985,NA,NA,0.96306,1.47261,0.75458,0.48986,0.55985,176,176,2958,1.089456745,"Actin, cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1 "
P,A0A0J9YUU8,0.46504,0.47752,0.25527,0.24914,0.9219,1.29489,0.78542,0.46504,0.47752,20,20,54,1.050211711,Serine/threonine-protein phosphatase PP1-beta catalytic subunit (Fragment) OS=Mus musculus OX=10090 GN=Ppp1cb PE=1 SV=1 
P,Q9Z255,0.48747,1.03547,NA,NA,0.80954,1.65731,0.71749,0.48747,1.03547,12,12,18,0.769940125,Ubiquitin-conjugating enzyme E2 A OS=Mus musculus OX=10090 GN=Ube2a PE=1 SV=1 
P,P68033,0.50037,0.54128,NA,NA,0.97221,1.49463,0.82973,0.50037,0.54128,332,332,2882,1.167856215,"Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1 "
P,P62737,0.48591,0.54673,NA,NA,0.95713,1.43969,0.79883,0.48591,0.54673,322,322,2483,1.087114617,"Actin, aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1 "
P,A0A286YEC4,0.77464,0.79934,NA,NA,0.92478,1.32985,0.91259,0.77464,0.79934,108,108,617,1.001246386,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,Q8CB58,0.65348,0.78226,NA,NA,0.94019,1.37559,0.84291,0.65348,0.78226,166,166,1175,1.008513092,"MCG13402, isoform CRA_d OS=Mus musculus OX=10090 GN=Ptbp1 PE=1 SV=1 "
P,D3Z7I1,0.85718,0.85163,NA,NA,1.05194,1.15482,0.99143,0.85718,0.85163,38,38,108,1.056643558,40S ribosomal protein S14 (Fragment) OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=1 
P,D3YVF4,0.85718,0.85163,�,�,1.05194,1.15482,0.99143,0.85718,0.85163,38,38,108,1.056643558,40S ribosomal protein S14 (Fragment) OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=1 
P,P07356,0.68728,0.76735,NA,NA,0.92877,1.48268,0.89425,0.68728,0.76735,167,167,545,1.057623051,Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2 
P,A0A286YDM3,0.64926,0.70053,NA,NA,0.93413,1.36485,0.89186,0.64926,0.70053,178,178,942,1.037477743,Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1 
P,Q9CXK8,0.40931,0.5963,0.3243,0.32265,0.8573,1.3268,0.80749,0.40931,0.5963,43,43,101,0.909139107,60S ribosome subunit biogenesis protein NIP7 homolog OS=Mus musculus OX=10090 GN=Nip7 PE=1 SV=1 
P,O35900,0.59244,0.69169,0.28809,0.30776,0.93432,1.2857,0.84572,0.59244,0.69169,19,19,55,0.981862102,U6 snRNA-associated Sm-like protein LSm2 OS=Mus musculus OX=10090 GN=Lsm2 PE=1 SV=1 
P,O70400,0.79561,0.60511,NA,NA,1.19072,1.30445,1.00287,0.79561,0.60511,94,94,223,1.203549741,PDZ and LIM domain protein 1 OS=Mus musculus OX=10090 GN=Pdlim1 PE=1 SV=4 
P,P17918,0.78743,0.8144,NA,NA,0.90521,1.80304,0.86143,0.78743,0.8144,61,61,191,1.421192142,Proliferating cell nuclear antigen OS=Mus musculus OX=10090 GN=Pcna PE=1 SV=2 
P,Q9CQF3,0.61537,0.58376,NA,NA,1.08314,1.40689,0.9702,0.61537,0.58376,58,58,157,1.124353485,Cleavage and polyadenylation specificity factor subunit 5 OS=Mus musculus OX=10090 GN=Nudt21 PE=1 SV=1 
P,A2CER2,0.51942,0.98476,NA,NA,0.90733,2.02553,0.8428,0.51942,0.98476,14,14,31,0.927755653,Regulator of chromosome condensation (Fragment) OS=Mus musculus OX=10090 GN=Rcc1 PE=1 SV=1 
